Symbol	EntrezID	Family	Species	Protein_have_DBD
NEUROD1	4760	bHLH	Homo sapiens	neuronal differentiation 1 (NEUROD1)
NEUROD2	4761	bHLH	Homo sapiens	neuronal differentiation 2 (NEUROD2)
NEUROD4	58158	bHLH	Homo sapiens	neuronal differentiation 4 (NEUROD4)
NEUROD6	63974	bHLH	Homo sapiens	neuronal differentiation 6 (NEUROD6)
NEUROG1	4762	bHLH	Homo sapiens	neurogenin 1 (NEUROG1)
NEUROG2	63973	bHLH	Homo sapiens	neurogenin 2 (NEUROG2)
NEUROG3	50674	bHLH	Homo sapiens	neurogenin 3 (NEUROG3)
NHLH1	4807	bHLH	Homo sapiens	nescient helix-loop-helix 1 (NHLH1)
NHLH2	4808	bHLH	Homo sapiens	nescient helix-loop-helix 2 (NHLH2)
NPAS2	4862	bHLH	Homo sapiens	neuronal PAS domain protein 2 (NPAS2)
OLIG1	116448	bHLH	Homo sapiens	oligodendrocyte transcription factor 1 (OLIG1)
OLIG2	10215	bHLH	Homo sapiens	oligodendrocyte lineage transcription factor 2 (OLIG2)
OLIG3	167826	bHLH	Homo sapiens	oligodendrocyte transcription factor 3 (OLIG3)
PTF1A	256297	bHLH	Homo sapiens	pancreas specific transcription factor, 1a (PTF1A)
SCX	642658	bHLH	Homo sapiens	scleraxis bHLH transcription factor (SCX)
SIM1	6492	bHLH	Homo sapiens	single-minded family bHLH transcription factor 1 (SIM1)
SOHLH1	402381	bHLH	Homo sapiens	spermatogenesis and oogenesis specific basic helix-loop-helix 1 (SOHLH1)
SOHLH2	54937	bHLH	Homo sapiens	spermatogenesis and oogenesis specific basic helix-loop-helix 2 (SOHLH2)
SREBF1	6720	bHLH	Homo sapiens	sterol regulatory element binding transcription factor 1 (SREBF1)
SREBF2	6721	bHLH	Homo sapiens	sterol regulatory element binding transcription factor 2 (SREBF2)
TAL1	6886	bHLH	Homo sapiens	T-cell acute lymphocytic leukemia 1 (TAL1)
TAL2	6887	bHLH	Homo sapiens	T-cell acute lymphocytic leukemia 2 (TAL2)
TCF12	6938	bHLH	Homo sapiens	transcription factor 12 (TCF12)
TCF15	6939	bHLH	Homo sapiens	transcription factor 15 (basic helix-loop-helix) (TCF15)
TCF21	6943	bHLH	Homo sapiens	transcription factor 21 (TCF21)
TCF23	150921	bHLH	Homo sapiens	transcription factor 23 (TCF23)
TCF24	100129654	bHLH	Homo sapiens	transcription factor 24 (TCF24)
TCF3	6929	bHLH	Homo sapiens	transcription factor 3 (TCF3)
TCF4	6925	bHLH	Homo sapiens	transcription factor 4 (TCF4)
TCFL5	10732	bHLH	Homo sapiens	transcription factor-like 5 (basic helix-loop-helix) (TCFL5)
TFAP4	7023	bHLH	Homo sapiens	transcription factor AP-4 (activating enhancer binding protein 4) (TFAP4)
TFE3	7030	bHLH	Homo sapiens	transcription factor binding to IGHM enhancer 3 (TFE3)
TFEB	7942	bHLH	Homo sapiens	transcription factor EB (TFEB)
TFEC	22797	bHLH	Homo sapiens	transcription factor EC (TFEC)
TWIST1	7291	bHLH	Homo sapiens	twist family bHLH transcription factor 1 (TWIST1)
TWIST2	117581	bHLH	Homo sapiens	twist family bHLH transcription factor 2 (TWIST2)
USF1	7391	bHLH	Homo sapiens	upstream transcription factor 1 (USF1)
USF2	7392	bHLH	Homo sapiens	upstream transcription factor 2, c-fos interacting (USF2)
USF3	205717	bHLH	Homo sapiens	upstream transcription factor family member 3 (USF3)
CEBPA	1050	C/EBP	Homo sapiens	CCAAT/enhancer binding protein alpha (CEBPA)
CEBPB	1051	C/EBP	Homo sapiens	CCAAT/enhancer binding protein beta (CEBPB)
CEBPD	1052	C/EBP	Homo sapiens	CCAAT/enhancer binding protein delta (CEBPD)
CEBPE	1053	C/EBP	Homo sapiens	CCAAT/enhancer binding protein epsilon (CEBPE)
CEBPG	1054	C/EBP	Homo sapiens	CCAAT/enhancer binding protein gamma (CEBPG)
CBFB	865	CBF	Homo sapiens	core-binding factor, beta subunit (CBFB)
CAMTA1	23261	CG-1	Homo sapiens	calmodulin binding transcription activator 1 (CAMTA1)
CAMTA2	23125	CG-1	Homo sapiens	calmodulin binding transcription activator 2 (CAMTA2)
EBF1	1879	COE	Homo sapiens	early B-cell factor 1 (EBF1)
EBF2	64641	COE	Homo sapiens	early B-cell factor 2 (EBF2)
EBF3	253738	COE	Homo sapiens	early B-cell factor 3 (EBF3)
EBF4	57593	COE	Homo sapiens	early B-cell factor 4 (EBF4)
GRHL1	29841	CP2	Homo sapiens	grainyhead like transcription factor 1 (GRHL1)
GRHL2	79977	CP2	Homo sapiens	grainyhead like transcription factor 2 (GRHL2)
GRHL3	57822	CP2	Homo sapiens	grainyhead like transcription factor 3 (GRHL3)
TFCP2	7024	CP2	Homo sapiens	transcription factor CP2 (TFCP2)
TFCP2L1	29842	CP2	Homo sapiens	transcription factor CP2-like 1 (TFCP2L1)
UBP1	7342	CP2	Homo sapiens	upstream binding protein 1 (LBP-1a) (UBP1)
CARHSP1	23589	CSD	Homo sapiens	calcium regulated heat stable protein 1 (CARHSP1)
CSDC2	27254	CSD	Homo sapiens	cold shock domain containing C2 (CSDC2)
CSDE1	7812	CSD	Homo sapiens	cold shock domain containing E1 (CSDE1)
LIN28A	79727	CSD	Homo sapiens	lin-28 homolog A (LIN28A)
LIN28B	389421	CSD	Homo sapiens	lin-28 homolog B (LIN28B)
YBX1	4904	CSD	Homo sapiens	Y-box binding protein 1 (YBX1)
YBX2	51087	CSD	Homo sapiens	Y-box binding protein 2 (YBX2)
YBX3	8531	CSD	Homo sapiens	Y-box binding protein 3 (YBX3)
RBPJ	3516	CSL	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region (RBPJ)
NFIA	4774	CTF/NFI	Homo sapiens	nuclear factor I/A (NFIA)
NFIB	4781	CTF/NFI	Homo sapiens	nuclear factor I/B (NFIB)
NFIC	4782	CTF/NFI	Homo sapiens	nuclear factor I/C (CCAAT-binding transcription factor) (NFIC)
NFIX	4784	CTF/NFI	Homo sapiens	nuclear factor I/X (CCAAT-binding transcription factor) (NFIX)
CUX1	1523	CUT	Homo sapiens	cut-like homeobox 1 (CUX1)
CUX2	23316	CUT	Homo sapiens	cut-like homeobox 2 (CUX2)
ONECUT1	3175	CUT	Homo sapiens	one cut homeobox 1 (ONECUT1)
ONECUT2	9480	CUT	Homo sapiens	one cut homeobox 2 (ONECUT2)
ONECUT3	390874	CUT	Homo sapiens	one cut homeobox 3 (ONECUT3)
SATB1	6304	CUT	Homo sapiens	SATB homeobox 1 (SATB1)
SATB2	23314	CUT	Homo sapiens	SATB homeobox 2 (SATB2)
DMRT1	1761	DM	Homo sapiens	doublesex and mab-3 related transcription factor 1 (DMRT1)
DMRT2	10655	DM	Homo sapiens	doublesex and mab-3 related transcription factor 2 (DMRT2)
DMRT3	58524	DM	Homo sapiens	doublesex and mab-3 related transcription factor 3 (DMRT3)
DMRTA1	63951	DM	Homo sapiens	DMRT like family A1 (DMRTA1)
DMRTA2	63950	DM	Homo sapiens	DMRT like family A2 (DMRTA2)
DMRTB1	63948	DM	Homo sapiens	DMRT like family B with proline rich C-terminal 1 (DMRTB1)
DMRTC2	63946	DM	Homo sapiens	DMRT like family C2 (DMRTC2)
E2F1	1869	E2F	Homo sapiens	E2F transcription factor 1 (E2F1)
E2F2	1870	E2F	Homo sapiens	E2F transcription factor 2 (E2F2)
E2F3	1871	E2F	Homo sapiens	E2F transcription factor 3 (E2F3)
E2F4	1874	E2F	Homo sapiens	E2F transcription factor 4 (E2F4)
E2F5	1875	E2F	Homo sapiens	E2F transcription factor 5 (E2F5)
E2F6	1876	E2F	Homo sapiens	E2F transcription factor 6 (E2F6)
E2F7	144455	E2F	Homo sapiens	E2F transcription factor 7 (E2F7)
E2F8	79733	E2F	Homo sapiens	E2F transcription factor 8 (E2F8)
TFDP1	7027	E2F	Homo sapiens	transcription factor Dp-1 (TFDP1)
TFDP2	7029	E2F	Homo sapiens	transcription factor Dp-2 (E2F dimerization partner 2) (TFDP2)
TFDP3	51270	E2F	Homo sapiens	transcription factor Dp family member 3 (TFDP3)
AR	367	ESR-like	Homo sapiens	androgen receptor (AR)
ESR1	2099	ESR-like	Homo sapiens	estrogen receptor 1 (ESR1)
ESR2	2100	ESR-like	Homo sapiens	estrogen receptor 2 (ER beta) (ESR2)
ESRRA	2101	ESR-like	Homo sapiens	estrogen related receptor alpha (ESRRA)
ESRRB	2103	ESR-like	Homo sapiens	estrogen related receptor beta (ESRRB)
ESRRG	2104	ESR-like	Homo sapiens	estrogen related receptor gamma (ESRRG)
NR3C1	2908	ESR-like	Homo sapiens	nuclear receptor subfamily 3 group C member 1 (NR3C1)
NR3C2	4306	ESR-like	Homo sapiens	nuclear receptor subfamily 3 group C member 2 (NR3C2)
PGR	5241	ESR-like	Homo sapiens	progesterone receptor (PGR)
EHF	26298	ETS	Homo sapiens	ETS homologous factor (EHF)
ELF1	1997	ETS	Homo sapiens	E74 like ETS transcription factor 1 (ELF1)
ELF2	1998	ETS	Homo sapiens	E74 like ETS transcription factor 2 (ELF2)
ELF3	1999	ETS	Homo sapiens	E74 like ETS transcription factor 3 (ELF3)
ELF4	2000	ETS	Homo sapiens	E74 like ETS transcription factor 4 (ELF4)
ELF5	2001	ETS	Homo sapiens	E74 like ETS transcription factor 5 (ELF5)
ELK1	2002	ETS	Homo sapiens	ELK1, ETS transcription factor (ELK1)
ELK3	2004	ETS	Homo sapiens	ELK3, ETS transcription factor (ELK3)
ELK4	2005	ETS	Homo sapiens	ELK4, ETS transcription factor (ELK4)
ERF	2077	ETS	Homo sapiens	ETS2 repressor factor (ERF)
ERG	2078	ETS	Homo sapiens	v-ets avian erythroblastosis virus E26 oncogene homolog (ERG)
ETS1	2113	ETS	Homo sapiens	ETS proto-oncogene 1, transcription factor (ETS1)
ETS2	2114	ETS	Homo sapiens	ETS proto-oncogene 2, transcription factor (ETS2)
ETV1	2115	ETS	Homo sapiens	ETS variant 1 (ETV1)
ETV2	2116	ETS	Homo sapiens	ETS variant 2 (ETV2)
ETV3	2117	ETS	Homo sapiens	ETS variant 3 (ETV3)
ETV3L	440695	ETS	Homo sapiens	ETS variant 3 like (ETV3L)
ETV4	2118	ETS	Homo sapiens	ETS variant 4 (ETV4)
ETV5	2119	ETS	Homo sapiens	ETS variant 5 (ETV5)
ETV6	2120	ETS	Homo sapiens	ETS variant 6 (ETV6)
ETV7	51513	ETS	Homo sapiens	ETS variant 7 (ETV7)
FEV	54738	ETS	Homo sapiens	FEV, ETS transcription factor (FEV)
FLI1	2313	ETS	Homo sapiens	Fli-1 proto-oncogene, ETS transcription factor (FLI1)
GABPA	2551	ETS	Homo sapiens	GA binding protein transcription factor alpha subunit (GABPA)
SPDEF	25803	ETS	Homo sapiens	SAM pointed domain containing ETS transcription factor (SPDEF)
SPI1	6688	ETS	Homo sapiens	Spi-1 proto-oncogene (SPI1)
SPIB	6689	ETS	Homo sapiens	Spi-B transcription factor (Spi-1/PU.1 related) (SPIB)
SPIC	121599	ETS	Homo sapiens	Spi-C transcription factor (Spi-1/PU.1 related) (SPIC)
FOXA1	3169	Fork	Homo sapiens	forkhead box A1 (FOXA1)
FOXA2	3170	Fork	Homo sapiens	forkhead box A2 (FOXA2)
FOXA3	3171	Fork	Homo sapiens	forkhead box A3 (FOXA3)
FOXB1	27023	Fork	Homo sapiens	forkhead box B1 (FOXB1)
FOXB2	442425	Fork	Homo sapiens	forkhead box B2 (FOXB2)
FOXC1	2296	Fork	Homo sapiens	forkhead box C1 (FOXC1)
FOXC2	2303	Fork	Homo sapiens	forkhead box C2 (FOXC2)
FOXD1	2297	Fork	Homo sapiens	forkhead box D1 (FOXD1)
FOXD2	2306	Fork	Homo sapiens	forkhead box D2 (FOXD2)
FOXD3	27022	Fork	Homo sapiens	forkhead box D3 (FOXD3)
FOXD4	2298	Fork	Homo sapiens	forkhead box D4 (FOXD4)
FOXD4L1	200350	Fork	Homo sapiens	forkhead box D4-like 1 (FOXD4L1)
FOXD4L3	286380	Fork	Homo sapiens	forkhead box D4-like 3 (FOXD4L3)
FOXD4L4	349334	Fork	Homo sapiens	forkhead box D4-like 4 (FOXD4L4)
FOXD4L5	653427	Fork	Homo sapiens	forkhead box D4-like 5 (FOXD4L5)
FOXD4L6	653404	Fork	Homo sapiens	forkhead box D4-like 6 (FOXD4L6)
FOXE1	2304	Fork	Homo sapiens	forkhead box E1 (FOXE1)
FOXE3	2301	Fork	Homo sapiens	forkhead box E3 (FOXE3)
FOXF1	2294	Fork	Homo sapiens	forkhead box F1 (FOXF1)
FOXF2	2295	Fork	Homo sapiens	forkhead box F2 (FOXF2)
FOXG1	2290	Fork	Homo sapiens	forkhead box G1 (FOXG1)
FOXH1	8928	Fork	Homo sapiens	forkhead box H1 (FOXH1)
FOXI1	2299	Fork	Homo sapiens	forkhead box I1 (FOXI1)
FOXI2	399823	Fork	Homo sapiens	forkhead box I2 (FOXI2)
FOXJ1	2302	Fork	Homo sapiens	forkhead box J1 (FOXJ1)
FOXJ2	55810	Fork	Homo sapiens	forkhead box J2 (FOXJ2)
FOXJ3	22887	Fork	Homo sapiens	forkhead box J3 (FOXJ3)
FOXK1	221937	Fork	Homo sapiens	forkhead box K1 (FOXK1)
FOXK2	3607	Fork	Homo sapiens	forkhead box K2 (FOXK2)
FOXL1	2300	Fork	Homo sapiens	forkhead box L1 (FOXL1)
FOXL2	668	Fork	Homo sapiens	forkhead box L2 (FOXL2)
FOXM1	2305	Fork	Homo sapiens	forkhead box M1 (FOXM1)
FOXN1	8456	Fork	Homo sapiens	forkhead box N1 (FOXN1)
FOXN2	3344	Fork	Homo sapiens	forkhead box N2 (FOXN2)
FOXN3	1112	Fork	Homo sapiens	forkhead box N3 (FOXN3)
FOXN4	121643	Fork	Homo sapiens	forkhead box N4 (FOXN4)
FOXO1	2308	Fork	Homo sapiens	forkhead box O1 (FOXO1)
FOXO3	2309	Fork	Homo sapiens	forkhead box O3 (FOXO3)
FOXO4	4303	Fork	Homo sapiens	forkhead box O4 (FOXO4)
FOXO6	100132074	Fork	Homo sapiens	forkhead box O6 (FOXO6)
FOXP1	27086	Fork	Homo sapiens	forkhead box P1 (FOXP1)
FOXP2	93986	Fork	Homo sapiens	forkhead box P2 (FOXP2)
FOXP3	50943	Fork	Homo sapiens	forkhead box P3 (FOXP3)
FOXP4	116113	Fork	Homo sapiens	forkhead box P4 (FOXP4)
FOXQ1	94234	Fork	Homo sapiens	forkhead box Q1 (FOXQ1)
FOXR1	283150	Fork	Homo sapiens	forkhead box R1 (FOXR1)
FOXR2	139628	Fork	Homo sapiens	forkhead box R2 (FOXR2)
FOXS1	2307	Fork	Homo sapiens	forkhead box S1 (FOXS1)
GCM1	8521	GCM	Homo sapiens	glial cells missing homolog 1 (GCM1)
GCM2	9247	GCM	Homo sapiens	glial cells missing homolog 2 (GCM2)
NR6A1	2649	GCNF-like	Homo sapiens	nuclear receptor subfamily 6 group A member 1 (NR6A1)
GTF2I	2969	GTF2I	Homo sapiens	general transcription factor IIi (GTF2I)
GTF2IRD1	9569	GTF2I	Homo sapiens	GTF2I repeat domain containing 1 (GTF2IRD1)
GTF2IRD2	84163	GTF2I	Homo sapiens	GTF2I repeat domain containing 2 (GTF2IRD2)
GTF2IRD2B	389524	GTF2I	Homo sapiens	GTF2I repeat domain containing 2B (GTF2IRD2B)
BBX	56987	HMG	Homo sapiens	bobby sox homolog (Drosophila) (BBX)
BHMG1	388553	HMG	Homo sapiens	basic helix-loop-helix and HMG-box containing 1 (BHMG1)
CIC	23152	HMG	Homo sapiens	capicua transcriptional repressor (CIC)
HBP1	26959	HMG	Homo sapiens	HMG-box transcription factor 1 (HBP1)
HMG20A	10363	HMG	Homo sapiens	high mobility group 20A (HMG20A)
HMG20B	10362	HMG	Homo sapiens	high mobility group 20B (HMG20B)
HMGB1	3146	HMG	Homo sapiens	high mobility group box 1 (HMGB1)
HMGB2	3148	HMG	Homo sapiens	high mobility group box 2 (HMGB2)
HMGB3	3149	HMG	Homo sapiens	high mobility group box 3 (HMGB3)
HMGB4	127540	HMG	Homo sapiens	high mobility group box 4 (HMGB4)
HMGXB3	22993	HMG	Homo sapiens	HMG-box containing 3 (HMGXB3)
HMGXB4	10042	HMG	Homo sapiens	HMG-box containing 4 (HMGXB4)
LEF1	51176	HMG	Homo sapiens	lymphoid enhancer binding factor 1 (LEF1)
PBRM1	55193	HMG	Homo sapiens	polybromo 1 (PBRM1)
PMS1	5378	HMG	Homo sapiens	PMS1 homolog 1, mismatch repair system component (PMS1)
SMARCE1	6605	HMG	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 (SMARCE1)
SOX1	6656	HMG	Homo sapiens	SRY-box 1 (SOX1)
SOX10	6663	HMG	Homo sapiens	SRY-box 10 (SOX10)
SOX11	6664	HMG	Homo sapiens	SRY-box 11 (SOX11)
SOX12	6666	HMG	Homo sapiens	SRY-box 12 (SOX12)
SOX13	9580	HMG	Homo sapiens	SRY-box 13 (SOX13)
SOX14	8403	HMG	Homo sapiens	SRY-box 14 (SOX14)
SOX15	6665	HMG	Homo sapiens	SRY-box 15 (SOX15)
SOX17	64321	HMG	Homo sapiens	SRY-box 17 (SOX17)
SOX18	54345	HMG	Homo sapiens	SRY-box 18 (SOX18)
SOX2	6657	HMG	Homo sapiens	SRY-box 2 (SOX2)
SOX21	11166	HMG	Homo sapiens	SRY-box 21 (SOX21)
SOX3	6658	HMG	Homo sapiens	SRY-box 3 (SOX3)
SOX30	11063	HMG	Homo sapiens	SRY-box 30 (SOX30)
SOX4	6659	HMG	Homo sapiens	SRY-box 4 (SOX4)
SOX5	6660	HMG	Homo sapiens	SRY-box 5 (SOX5)
SOX6	55553	HMG	Homo sapiens	SRY-box 6 (SOX6)
SOX7	83595	HMG	Homo sapiens	SRY-box 7 (SOX7)
SOX8	30812	HMG	Homo sapiens	SRY-box 8 (SOX8)
SOX9	6662	HMG	Homo sapiens	SRY-box 9 (SOX9)
SRY	6736	HMG	Homo sapiens	sex determining region Y (SRY)
SSRP1	6749	HMG	Homo sapiens	structure specific recognition protein 1 (SSRP1)
TCF7	6932	HMG	Homo sapiens	transcription factor 7 (T-cell specific, HMG-box) (TCF7)
TCF7L1	83439	HMG	Homo sapiens	transcription factor 7 like 1 (TCF7L1)
TCF7L2	6934	HMG	Homo sapiens	transcription factor 7 like 2 (TCF7L2)
TFAM	7019	HMG	Homo sapiens	transcription factor A, mitochondrial (TFAM)
TOX	9760	HMG	Homo sapiens	thymocyte selection associated high mobility group box (TOX)
TOX2	84969	HMG	Homo sapiens	TOX high mobility group box family member 2 (TOX2)
TOX3	27324	HMG	Homo sapiens	TOX high mobility group box family member 3 (TOX3)
TOX4	9878	HMG	Homo sapiens	TOX high mobility group box family member 4 (TOX4)
UBTF	7343	HMG	Homo sapiens	upstream binding transcription factor, RNA polymerase I (UBTF)
WDHD1	11169	HMG	Homo sapiens	WD repeat and HMG-box DNA binding protein 1 (WDHD1)
WHSC1	7468	HMG	Homo sapiens	Wolf-Hirschhorn syndrome candidate 1 (WHSC1)
HMGA1	3159	HMGI/HMGY	Homo sapiens	high mobility group AT-hook 1 (HMGA1)
HMGA2	8091	HMGI/HMGY	Homo sapiens	high mobility group AT-hook 2 (HMGA2)
ADNP	23394	Homeobox	Homo sapiens	activity-dependent neuroprotector homeobox (ADNP)
ALX1	8092	Homeobox	Homo sapiens	ALX homeobox 1 (ALX1)
ALX3	257	Homeobox	Homo sapiens	ALX homeobox 3 (ALX3)
ALX4	60529	Homeobox	Homo sapiens	ALX homeobox 4 (ALX4)
ANHX	647589	Homeobox	Homo sapiens	anomalous homeobox (ANHX)
ARGFX	503582	Homeobox	Homo sapiens	arginine-fifty homeobox (ARGFX)
ARX	170302	Homeobox	Homo sapiens	aristaless related homeobox (ARX)
